match_id,minute,period,event_index,home_team,away_team,home_score,away_score,stage,detected_type,player,team,location,event_count,play_patterns,event_types,rule_based_commentary,sequence_commentary,llm_commentary,model,generated_at,v2_domination_team,v2_domination_streak,v2_most_active_player,v2_most_active_count,v2_multi_events_scenario,v2_multi_events_count,event_distance,event_stage_info,event_phase,event_period,event_stage,has_chain,event_delivered_by,event_conceded_by,event_committed_by,event_committed_team,event_fouled_player,event_fouled_team,event_is_dangerous,event_danger_context,event_foul_committed_by,event_foul_committed_team,event_injured_player,event_injured_team,event_has_substitution,event_outcome,event_body_part,event_technique,event_xG,event_assisted_by,event_blocked_by,chain_events,event_carded_player,event_carded_team,event_reason,event_saved_by,event_player_off,event_substitution_info,event_scorer
3943043,0,1,0,Spain,England,0,0,Final,Kick Off,,England,,35,"From Goal Kick(15), From Throw In(11), From Kick Off(5), Regular Play(4)","Pass(9), Ball Receipt*(8), Carry(7), Pressure(3), Starting XI(2)",Half Start,"[0:00] Starting XI . Starting XI, Half Start . Half Start . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Kobbie Mainoo under pressure, plays a long pass back along the ground to Jordan Pickford",[Kick Off] First Half begins. Euro 2024 Final! Spain versus England.,gpt-4o-mini,2025-12-09T10:30:25.359866,,0,Daniel Carvajal Ramos,7,,0,,This is the Final!,Final MATCH - First Half begins,1.0,Final,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943043,1,1,0,Spain,England,0,0,Final,General,Daniel Olmo Carvajal,Spain,left side of the box,52,"From Throw In(27), Regular Play(25)","Carry(14), Ball Receipt*(12), Pass(11), Pressure(7), Duel(4)",Daniel Olmo Carvajal closes down Luke Shaw,"[1:31] Luke Shaw under pressure, carries the ball under pressure, plays a short pass along the ground to Declan Rice . Daniel Olmo Carvajal closes down Luke Shaw . Declan Rice under pressure, carries the ball under pressure, plays a short pass along the ground to Jude Bellingham",[General] Spain maintaining control in midfield. Carvajal very active early on.,gpt-4o-mini,2025-12-09T10:30:26.143522,,0,Daniel Carvajal Ramos,9,,0,outside the box,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943043,2,1,0,Spain,England,0,0,Final,General,Harry Kane,England,right side of the box,41,From Throw In(41),"Pass(14), Ball Receipt*(13), Carry(10), Pressure(3), Ball Recovery(1)",Harry Kane closes down Robin Aime Robert Le Normand,"[2:43] Harry Kane closes down Robin Aime Robert Le Normand . Robin Aime Robert Le Normand under pressure, plays a medium pass back along the ground to Unai Simón Mendibil, Unai Simón Mendibil under pressure, carries the ball from the left defensive third into the central defensive third under pressure, plays a medium pass forward along the ground to Aymeric Laporte, Aymeric Laporte under pressure, carries the ball from the central defensive third into the right defensive third",[General] Spain completely dominant in the opening minutes. Le Normand very active in defense.,gpt-4o-mini,2025-12-09T10:30:29.186635,Spain,2,Robin Aime Robert Le Normand,15,,0,long range,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943043,3,1,0,Spain,England,0,0,Final,General,Nicholas Williams Arthuer,Spain,right side of the box,63,"Regular Play(53), From Throw In(10)","Ball Receipt*(17), Carry(17), Pass(17), Pressure(5), Block(2)",Nicholas Williams Arthuer closes down Kyle Walker,"[3:08] Phil Foden under pressure, carries the ball under pressure, plays a long pass back along the ground to Jordan Pickford . Daniel Olmo Carvajal closes down Phil Foden . Jordan Pickford under pressure, carries the ball under pressure, plays a medium pass along the ground to Kyle Walker",[General] Spain dominating possession in midfield for the last 3 minutes. Robin Le Normand very active.,gpt-4o-mini,2025-12-09T10:30:31.071708,Spain,3,Robin Aime Robert Le Normand,11,,0,edge of the box,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943043,4,1,0,Spain,England,0,0,Final,Corner,Nicholas Williams Arthuer,Spain,six yard box,28,"Regular Play(22), From Corner(6)","Pass(9), Ball Receipt*(6), Carry(4), Clearance(4), Duel(2)","Nicholas Williams Arthuer under pressure, delivers the corner a dangerous long ball through the air to Daniel Carvajal Ramos into the central attacking third, but the pass doesn't find its target","[4:47] Nicholas Williams Arthuer under pressure, delivers the corner a dangerous long ball through the air to Daniel Carvajal Ramos into the central attacking third, but the pass doesn't find its target, Daniel Carvajal Ramos receives under pressure in the central attacking third in the duel . Jude Bellingham clears the danger, Phil Foden clears the danger","[Corner] Corner, Spain. Conceded by John Stones (England).",gpt-4o-mini,2025-12-09T10:30:32.830195,Spain,3,Nicholas Williams Arthuer,5,,0,close range,,,,,False,Nicholas Williams Arthuer,John Stones,,,,,,,,,,,,,,,,,,,,,,,,,
3943043,5,1,0,Spain,England,0,0,Final,General,Marc Cucurella Saseta,Spain,right side of the box,55,Regular Play(55),"Ball Receipt*(17), Carry(17), Pass(16), Pressure(3), Block(1)","Marc Cucurella Saseta under pressure, plays a dangerous medium pass back along the ground to Fabián Ruiz Peña into the DANGER ZONE","[5:33] Marc Cucurella Saseta under pressure, plays a dangerous medium pass back along the ground to Fabián Ruiz Peña into the DANGER ZONE, Fabián Ruiz Peña under pressure, carries the ball - BUT LOSES IT! . Bukayo Saka closes down Fabián Ruiz Peña . Fabián Ruiz Peña under MASSIVE pressure, plays a medium pass back along the ground to Aymeric Laporte, Aymeric Laporte under pressure, carries the ball",[General] Spain dominating possession in midfield for the last three minutes. Fabián Ruiz very active.,gpt-4o-mini,2025-12-09T10:30:34.739800,Spain,3,Fabián Ruiz Peña,12,,0,outside the box,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943043,6,1,0,Spain,England,0,0,Final,General,Jude Bellingham,England,defensive half,61,Regular Play(61),"Pass(21), Ball Receipt*(20), Carry(17), Pressure(3)",Jude Bellingham closes down Daniel Carvajal Ramos,"[6:47] Aymeric Laporte under pressure, carries the ball under pressure, plays a medium pass along the ground to Robin Aime Robert Le Normand, Robin Aime Robert Le Normand under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Daniel Carvajal Ramos into the left attacking third, Daniel Carvajal Ramos under pressure, carries the ball - BUT LOSES IT!",[General] Spain dominating possession in midfield for the last three minutes. Robin Le Normand very active.,gpt-4o-mini,2025-12-09T10:30:36.278750,Spain,3,Robin Aime Robert Le Normand,21,,0,long range,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943043,7,1,0,Spain,England,0,0,Final,General,Fabián Ruiz Peña,Spain,six yard box,50,"Regular Play(45), From Throw In(5)","Pass(16), Ball Receipt*(14), Carry(7), Pressure(5), Interception(2)",Crucial block by Fabián Ruiz Peña!,"[7:13] Declan Rice under pressure, carries the ball from the central defensive third into the left defensive third - BUT LOSES IT! . Fabián Ruiz Peña closes down Declan Rice is beaten by Fabián Ruiz Peña! . Declan Rice takes on the defender under pressure, drives forward with the ball - BUT LOSES IT!",[General] Spain dominating possession in midfield for the last three minutes. Fabián Ruiz very active.,gpt-4o-mini,2025-12-09T10:30:37.129012,Spain,3,Fabián Ruiz Peña,13,,0,close range,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943043,8,1,0,Spain,England,0,0,Final,General,Jordan Pickford,England,defensive half,41,"From Throw In(23), Regular Play(11), From Counter(7)","Ball Receipt*(14), Pass(13), Carry(9), Pressure(2), Block(2)","Jordan Pickford under pressure, carries the ball - BUT LOSES IT!","[8:58] Jordan Pickford under pressure, carries the ball - BUT LOSES IT! . Álvaro Borja Morata Martín closes down Jordan Pickford . Jordan Pickford under pressure, plays a long ball forward through the air to Bukayo Saka, Bukayo Saka under pressure, carries the ball - BUT LOSES IT! . Marc Cucurella Saseta closes down Bukayo Saka",[General] Spain dominating possession in midfield for the last three minutes. Robin Le Normand very active.,gpt-4o-mini,2025-12-09T10:30:38.231682,Spain,3,Robin Aime Robert Le Normand,6,,0,long range,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943043,9,1,0,Spain,England,0,0,Final,Foul,Jude Bellingham,England,midfield,24,From Throw In(24),"Pass(7), Ball Receipt*(6), Carry(5), Pressure(4), Foul Committed(1)",Jude Bellingham is fouled,"[9:29] Jude Bellingham is fouled, Luke Shaw under pressure, delivers the free kick a long ball forward through the air into the left attacking third, ⚠️ FOUL by Marc Guehi in the central attacking third",[Foul] Foul by Rodrigo Hernández (Spain) on Jude Bellingham (England) in midfield.,gpt-4o-mini,2025-12-09T10:30:39.182088,,0,,0,,0,long range,,,,,False,,,Rodrigo Hernández Cascante,Spain,Jude Bellingham,England,True,,,,,,,,,,,,,,,,,,,,
