minute,sequence_rank,real_commentary,real_commentary_type,our_sequence_commentary,sequence_id,score_before,average_score,cosine_similarity,entity_overlap,semantic_similarity,entity_players_match,entity_actions_match,entity_outcome_match
1,1,KICKOFF:  And we're off! France get us started.,key_event,"[0:00]  THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Adrien Rabiot under pressure, plays a short pass back along the ground to N'Golo Kanté N'Golo Kanté receives under pressure, carries the ball  THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass along the ground to Jules Koundé Jules Koundé receives",2,N/A,0.2558,0.0301,0.2,0.5373,0.0,0.0,1.0
1,2,KICKOFF:  And we're off! France get us started.,key_event,"[0:10] Jules Koundé receives under pressure, carries the ball - BUT LOSES IT! . Nicholas Williams Arthuer closes down Jules Koundé .  THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Jules Koundé under MASSIVE pressure, plays a short pass forward along the ground to Ousmane Dembélé Ousmane Dembélé receives",3,N/A,0.2335,0.0215,0.2,0.4791,0.0,0.0,1.0
1,3,KICKOFF:  And we're off! France get us started.,key_event,[0:00] Starting XI . Starting XI . Half Start . Half Start,1,N/A,0.2194,0.0,0.2,0.4583,0.0,0.0,1.0
1,4,KICKOFF:  And we're off! France get us started.,key_event,"[0:15] Álvaro Borja Morata Martín wins the ball back under pressure, carries the ball under pressure, plays a short pass along the ground to Daniel Olmo Carvajal Daniel Olmo Carvajal receives under pressure, carries the ball",4,N/A,0.1449,0.0,0.2,0.2346,0.0,0.0,1.0
1,5,KICKOFF:  And we're off! France get us started.,key_event,"[0:27] Mike Maignan receives under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Dayotchanculle Upamecano Dayotchanculle Upamecano receives under pressure, carries the ball - BUT LOSES IT!",6,N/A,0.1237,0.0,0.2,0.1712,0.0,0.0,1.0
1,6,KICKOFF:  And we're off! France get us started.,key_event,"[0:19] Adrien Rabiot in the duel Randal Kolo Muani under pressure, plays a medium pass back along the ground to Aurélien Djani Tchouaméni . Álvaro Borja Morata Martín closes down Randal Kolo Muani . Aurélien Djani Tchouaméni receives under pressure, plays a short pass along the ground to Adrien Rabiot",5,N/A,0.1075,0.0,0.2,0.1224,0.0,0.0,1.0
2,1,"Bright start from Spain... Fabian Ruiz moves into the left channel and curls a cross towards the back post, but Lamine Yamal slips and the ball bounces out of play.",general,"[0:50] Jesús Navas González under pressure, plays a short pass to Daniel Olmo Carvajal Daniel Olmo Carvajal receives under pressure, carries the ball under pressure, plays a short pass to Jesús Navas González Jesús Navas González receives",7,N/A,0.2259,0.0088,0.2,0.4689,0.0,0.0,1.0
2,2,"Bright start from Spain... Fabian Ruiz moves into the left channel and curls a cross towards the back post, but Lamine Yamal slips and the ball bounces out of play.",general,"[1:06] Nicholas Williams Arthuer receives under pressure in the right attacking third under pressure, carries the ball under pressure, plays a medium pass to Marc Cucurella Saseta Marc Cucurella Saseta receives under pressure in the right attacking third under pressure, carries the ball",8,N/A,0.2065,0.0193,0.2,0.4003,0.0,0.0,1.0
2,3,"Bright start from Spain... Fabian Ruiz moves into the left channel and curls a cross towards the back post, but Lamine Yamal slips and the ball bounces out of play.",general,"[1:27] Marc Cucurella Saseta under pressure, plays a medium pass back to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball under pressure, plays a medium pass along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives",10,N/A,0.204,0.0101,0.2,0.4019,0.0,0.0,1.0
2,4,"Bright start from Spain... Fabian Ruiz moves into the left channel and curls a cross towards the back post, but Lamine Yamal slips and the ball bounces out of play.",general,"[1:18] Jules Koundé under pressure, plays a short pass to N'Golo Kanté N'Golo Kanté receives under pressure, plays a medium pass forward along the ground to Jules Koundé . Nicholas Williams Arthuer closes down N'Golo Kanté . Jules Koundé receives",9,N/A,0.1981,0.0,0.2,0.3942,0.0,0.0,1.0
