minute,sequence_rank,real_commentary,real_commentary_type,our_sequence_commentary,sequence_id,score_before,average_score,cosine_similarity,entity_overlap,semantic_similarity,entity_players_match,entity_actions_match,entity_outcome_match
1,1,KICKOFF:  England kick us off here...,key_event,[0:00] Starting XI . Starting XI Half Start . Half Start,1,N/A,0.1996,0.0,0.2,0.3989,0.0,0.0,1.0
1,2,KICKOFF:  England kick us off here...,key_event,"[0:00] . Jordan Pickford receives under pressure, carries the ball Bukayo Saka receives under pressure in the left attacking third",2,N/A,0.1622,0.0,0.2,0.2867,0.0,0.0,1.0
1,3,KICKOFF:  England kick us off here...,key_event,"[0:34] From the goal kick, Unai Simón Mendibil under pressure, plays a medium pass along the ground to Robin Aime Robert Le Normand Robin Aime Robert Le Normand receives under pressure, carries the ball From the goal kick, Robin Aime Robert Le Normand under pressure, plays a medium pass forward along the ground to Daniel Carvajal Ramos Daniel Carvajal Ramos receives",3,N/A,0.1294,0.0356,0.0,0.3526,0.0,0.0,0.0
1,4,KICKOFF:  England kick us off here...,key_event,"[0:40] Daniel Olmo Carvajal under pressure, carries the ball struggles to control under pressure From the goal kick, Álvaro Borja Morata Martín under pressure, plays a short pass along the ground to Lamine Yamal Nasraoui Ebana, but the pass doesn't find its target Lamine Yamal Nasraoui Ebana receives . Crucial block by Marc Guehi!",4,N/A,0.1056,0.0284,0.0,0.2883,0.0,0.0,0.0
2,1,"... England immediately look down the right, with Pickford delivering long towards Saka, but it goes behind for a Spain goal kick. The atmosphere inside the stadium really is sensational.",general,"[1:10] Aymeric Laporte receives under pressure, drives forward with the ball from the central defensive third into the right midfield under pressure, plays a long pass along the ground to Robin Aime Robert Le Normand Robin Aime Robert Le Normand receives under pressure, carries the ball from the left defensive third into the left midfield",7,N/A,0.153,0.0177,0.15,0.2912,0.0,0.0,0.0
2,2,"... England immediately look down the right, with Pickford delivering long towards Saka, but it goes behind for a Spain goal kick. The atmosphere inside the stadium really is sensational.",general,"[0:58] Daniel Carvajal Ramos receives under pressure, carries the ball is dispossessed by Jude Bellingham! . Jude Bellingham in the duel under pressure, carries the ball",5,N/A,0.1221,0.0,0.0,0.3664,0.0,0.0,0.0
2,3,"... England immediately look down the right, with Pickford delivering long towards Saka, but it goes behind for a Spain goal kick. The atmosphere inside the stadium really is sensational.",general,"[1:01] Daniel Carvajal Ramos in the duel . Jude Bellingham closes down Daniel Carvajal Ramos . Daniel Olmo Carvajal under MASSIVE pressure, plays a short pass along the ground to Rodrigo Hernández Cascante Rodrigo Hernández Cascante receives under pressure, carries the ball - BUT LOSES IT!",6,N/A,0.1167,0.0,0.0,0.3502,0.0,0.0,0.0
2,4,"... England immediately look down the right, with Pickford delivering long towards Saka, but it goes behind for a Spain goal kick. The atmosphere inside the stadium really is sensational.",general,"[1:37] Daniel Carvajal Ramos closes down Jude Bellingham . Luke Shaw receives under pressure, carries the ball takes on the defender",10,N/A,0.1145,0.0,0.0,0.3435,0.0,0.0,0.0
2,5,"... England immediately look down the right, with Pickford delivering long towards Saka, but it goes behind for a Spain goal kick. The atmosphere inside the stadium really is sensational.",general,"[1:39] Daniel Carvajal Ramos in the duel surges forward on a BRILLIANT run from the left midfield into the left defensive third under pressure, plays a short pass along the ground to Robin Aime Robert Le Normand Robin Aime Robert Le Normand receives under pressure, carries the ball",11,N/A,0.1065,0.0,0.0,0.3194,0.0,0.0,0.0
2,6,"... England immediately look down the right, with Pickford delivering long towards Saka, but it goes behind for a Spain goal kick. The atmosphere inside the stadium really is sensational.",general,"[1:31] Luke Shaw in the duel under pressure, carries the ball under pressure, plays a short pass along the ground to Declan Rice . Daniel Olmo Carvajal closes down Luke Shaw . Declan Rice receives",9,N/A,0.1001,0.0,0.0,0.3002,0.0,0.0,0.0
