data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score,average_score_with_ner
FLASHSCORE,1,1,The match has just started.,Kick Off,[Kick Off] The first half begins. Group Stage match between Slovenia and Serbia!,4589,0.4333262827975556,0.2711479282356639,0.1458365918972266,0.5906841,0.0769230769230769,0.0633523017168045,0.1434909552335739,0.0801386535167694,5,13,3,11,1,0,4,0,0.0,0,2,0,0.0,0,0,0,0.0,0,4,0,0,0,2,0,0,0,0,0,0,0.5,0.4466610230607069
FLASHSCORE,1,2,A long ball forward to Aleksandar Mitrovic (Serbia) is intercepted.,General,[Kick Off] The first half begins. Group Stage match between Slovenia and Serbia!,4589,0.3054687056326881,0.1836169624837259,0.0490825929484706,0.44294477,0.0588235294117647,-0.1854851096868515,0.1434909552335739,0.3289760649204254,10,13,7,11,1,2,4,1,0.5,1,2,1,1.0,0,0,0,0.0,2,4,0,0,1,2,0,0,0,0,0,0,0.42857142857142855,0.3300892512022477
FLASHSCORE,4,1,"Adam Gnezda Cerin (Slovenia) latches on to a pass on the edge of the box, but he can't get any power into the shot and fails to trouble Predrag Rajkovic.",General,[Shot Saved] Attempt saved. Adam Gnezda Čerin's right-footed shot from the edge of the box.,4592,0.4540454611579214,0.3984122495385852,0.2966218868673204,0.67134213,0.2272727272727272,-0.2901315987110138,0.088923305273056,0.3790549039840698,30,15,17,12,5,3,3,0,0.0,1,0,0,0.0,2,3,1,0.5,3,3,0,0,1,0,0,0,2,5,0,2,0.26666666666666666,0.4165697013645289
FLASHSCORE,7,1,"Serbia slow the tempo of the game down by exchanging a combination of one or two touch passes. The opposition's players are finding it very difficult at the moment, very physically demanding to run without the ball.",General,"[General] Serbia dominating possession with 86.3%, controlling the midfield for 3 minutes.",4595,0.2392504130324947,0.2578022764154576,0.1397791590945263,0.5979134,0.0357142857142857,-0.6191800236701965,0.1972251534461975,0.816405177116394,37,12,23,7,1,1,2,1,1.0,1,1,1,1.0,1,0,0,0.0,1,2,0,0,1,1,0,0,1,0,0,0,0.6,0.31140033353848356
FLASHSCORE,8,1,Jan Mlakar (Slovenia) zig-zags his way into the box and fails to direct a shot inside the right post as the goalkeeper pulls off a miraculous stop. The linesman makes the right call and Slovenia will have a corner.,Save,[Shot Saved] Attempt saved. Jan Mlakar's right footed shot from the centre of the box denied by Predrag Rajković. Slovenia pressing with seven corners so far.,4596,0.500890496405983,0.3881323340475877,0.2843471073049911,0.7035793,0.1764705882352941,-0.1726078242063522,-0.0117728076875209,0.1608350165188312,39,26,25,19,6,2,5,2,1.0,1,1,1,1.0,3,4,2,0.6666666666666666,2,5,0,0,2,1,1,0,3,6,0,2,0.8461538461538461,0.56994316503506
FLASHSCORE,8,2,Slovenia take a short corner instead of sending the ball into the penalty area.,Corner,[Shot Saved] Attempt saved. Jan Mlakar's right footed shot from the centre of the box denied by Predrag Rajković. Slovenia pressing with seven corners so far.,4596,0.4142883251426578,0.2597127344466528,0.1624666686549703,0.57821,0.0384615384615384,-0.1337577104568481,-0.0117728076875209,0.1219849027693271,14,26,10,19,1,1,5,1,1.0,1,1,1,1.0,2,4,1,0.5,1,5,0,0,1,1,0,0,2,6,0,2,0.7142857142857143,0.47428780372657914
FLASHSCORE,9,1,Vanja Drkusic (Slovenia) robs an opponent of the ball and explodes in anger when Istvan Kovacs blows for a foul. Serbia win a free kick.,Free Kick,"[Corner] Corner for Slovenia, delivered by Žan Karničnik. Early pressure from the hosts.",4597,0.2989540288348616,0.1788202241228185,0.0890440290668095,0.40574998,0.0416666666666666,-0.2865997552871704,0.0540448017418384,0.3406445570290088,25,13,17,9,1,4,3,1,0.25,2,1,1,0.5,2,1,0,0.0,4,3,0,0,2,1,0,0,2,2,0,1,0.16666666666666666,0.27249655707422676
FLASHSCORE,11,1,"Zan Karnicnik (Slovenia) did his best to latch on to a crossfield pass, but it was too long and it goes out of play. The linesman signals a throw-in for Serbia.",General,"[General] Slovenia dominating with 89.5% possession, controlling the midfield effectively.",4599,0.2442797686018213,0.173817113420389,0.0586986864673119,0.4172981,0.0454545454545454,-0.1707598268985748,0.373572438955307,0.5443322658538818,31,10,16,7,1,3,2,1,0.3333333333333333,2,1,1,0.5,3,0,0,0.0,3,2,0,0,2,1,0,0,3,0,0,0,0.21428571428571427,0.23828095607073796
FLASHSCORE,12,1,"Adam Gnezda Cerin (Slovenia) manages to dispossess his opponent of the ball, but he commits a foul in the process and the referee blows his whistle. Serbia are awarded the free kick.",Free Kick,[Foul] Foul by Adam Gnezda Čerin (Slovenia) on Filip Mladenović (Serbia). Free kick awarded in Serbia's defensive half.,4600,0.5110334852971308,0.4534528486778566,0.2288979156581638,0.78363454,0.3478260869565217,-0.0717402398586273,-0.3879648447036743,0.316224604845047,32,18,18,15,8,3,6,2,0.6666666666666666,2,2,2,1.0,2,2,2,1.0,3,6,0,0,2,3,0,1,2,3,0,1,0.8571428571428571,0.5802553589824991
FLASHSCORE,13,1,"Adam Gnezda Cerin (Slovenia) sends a long ball in, but Predrag Rajkovic comfortably gathers the ball.",General,[Foul] Foul by Timi Elšnik (Slovenia) on Strahinja Pavlović (Serbia). Free kick awarded.,4601,0.2700799700335679,0.1773946032545324,0.0327158527437914,0.44946796,0.05,0.0878573805093765,-0.3640065491199493,0.4518639296293258,16,13,12,11,1,3,6,1,0.3333333333333333,1,2,1,1.0,0,2,0,0.0,3,6,0,0,1,2,0,0,0,3,0,1,0.2727272727272727,0.2706094311683477
