data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score,average_score_with_ner
FOX,1,1,Spain awarded a throw-in in their own half.,General,[Kick Off] The first half begins. Group Stage match between Spain and Croatia!,5101,0.3505273358090668,0.2006735763369599,0.0973085560939225,0.36185503,0.1428571428571428,-0.0102735012769699,0.1896378844976425,0.1999113857746124,8,13,5,11,2,0,3,0,0.0,1,2,1,1.0,1,0,0,0.0,0,3,0,0,1,2,0,0,1,0,0,0,1.0,0.48042186863529057
FOX,3,1,Michael Oliver signals a free kick to Croatia.,Free Kick,[Foul] Foul by Marc Cucurella (Spain) on Lovro Majer (Croatia) in the attacking third.,5103,0.2411159892350939,0.1860247528513945,0.0504012589678056,0.43624443,0.0714285714285714,0.1252112835645675,-0.4683990180492401,0.5936103016138077,8,14,6,10,1,2,4,1,0.5,1,2,1,1.0,1,1,0,0.0,2,4,0,0,1,2,0,0,1,2,0,1,0.3333333333333333,0.2595594584231805
FOX,4,1,Throw-in for Croatia in their own half.,General,[Foul] Foul by Sergio Busquets (Spain) on Marcelo Brozović (Croatia). Free kick awarded in the attacking third.,5104,0.2725829835508476,0.1810024876759066,0.130395199666107,0.3459456,0.0666666666666666,0.0870663002133369,-0.3656092286109924,0.4526755288243294,7,17,4,13,1,2,5,1,0.5,1,2,1,1.0,1,2,0,0.0,2,5,0,0,1,2,0,0,1,3,0,1,0.42857142857142855,0.3037806732159746
FOX,6,1,Croatia have a goal kick.,General,"[General] Spain dominating possession with 100% control, Le Normand very active in midfield.",5106,0.2155939880758524,0.0792669256528218,0.0,0.23780078,0.0,0.0899963751435279,0.465421199798584,0.375424824655056,5,13,3,10,0,1,2,0,0.0,1,1,0,0.0,2,0,0,0.0,1,2,0,0,1,1,0,0,2,0,0,0,0.0,0.1724751910689888
FOX,7,1,In Berlin Spain drive forward through Alvaro Morata. His shot is on target but it's saved.,General,[Shot Saved] Attempt saved. Álvaro Morata's left footed shot from the edge of the box denied by Dominik Livaković.,5107,0.4697120468793597,0.3256157077489014,0.1465190696969879,0.6724333,0.1578947368421052,0.0763894319534301,-0.021609503775835,0.0979989357292652,16,19,10,14,3,3,4,1,0.3333333333333333,1,0,0,0.0,2,3,2,1.0,3,4,0,0,1,0,0,0,2,5,0,2,0.3157894736842105,0.43892752889880765
FOX,8,1,Can Spain get the ball into an attacking position from this throw-in in Croatia's half?,General,"[General] Spain dominating early, 100% possession, Fabián Ruiz leading the charge.",5108,0.305939280649894,0.1712671819307718,0.0775773501000411,0.38066864,0.0555555555555555,0.0597477592527866,0.3497921824455261,0.2900444231927395,15,11,9,10,1,2,2,0,0.0,2,1,1,0.5,1,0,0,0.0,2,2,0,0,2,1,0,0,1,0,0,0,0.3,0.3047514244925714
FOX,10,1,Free kick Spain.,Free Kick,[Foul] Foul by Josip Šutalo (Croatia) on Álvaro Morata (Spain) near the box.,5110,0.2626391597986361,0.2096669357220518,0.0839596659812619,0.45413205,0.0909090909090909,0.1109976321458816,-0.4674465358257293,0.578444167971611,3,13,3,10,1,1,4,0,0.0,1,2,1,1.0,1,1,0,0.0,1,4,0,0,1,2,0,0,1,2,0,1,0.6,0.33011132778374835
FOX,10,2,Goal kick for Croatia at Olympiastadion Berlin.,General,[Foul] Foul by Josip Šutalo (Croatia) on Álvaro Morata (Spain) near the box.,5110,0.237813491535909,0.215347349859247,0.0521095355704661,0.51700944,0.0769230769230769,0.2273415476083755,-0.4674465358257293,0.6947880834341049,7,13,5,10,1,3,4,1,0.3333333333333333,1,2,1,1.0,2,1,0,0.0,3,4,0,0,1,2,0,0,2,2,0,1,0.3333333333333333,0.2569174604785543
FOX,11,1,Croatia to take a throw-in in Spain territory.,General,"[General] Croatia dominating early with 79.5% possession, controlling the midfield.",5111,0.3615703902971457,0.2292172230557217,0.0532538373370539,0.54348874,0.0909090909090909,0.0288603343069553,0.2702304422855377,0.2413701079785823,8,10,5,7,1,1,2,1,1.0,2,1,1,0.5,1,0,0,0.0,1,2,0,0,2,1,0,0,1,0,0,0,0.5,0.3892563120535125
FOX,12,1,Croatia awarded a free kick in their own half.,Free Kick,[Foul] Foul by Lamine Yamal (Spain) on Mateo Kovačić (Croatia). Free kick awarded.,5112,0.4656164047023811,0.394669478969595,0.2285881613795592,0.62208694,0.3333333333333333,-0.0332422964274883,-0.3547851145267486,0.3215428180992603,9,13,6,11,4,1,5,1,1.0,1,2,1,1.0,1,2,1,1.0,1,5,0,0,1,2,0,0,1,3,0,1,1.0,0.5724931233227265
