timestamp,match_id,minute,period,score_home,score_away,home_team,away_team,interesting,confidence,main_finding,reason,momentum_gap,home_momentum,away_momentum,home_change,away_change,has_tension,is_max_gap,home_streak,away_streak,game_phase,has_predictions
2025-12-31T00:07:58.116732,3940983,2,1,0,0,Germany,Denmark,False,0.4,Too early for meaningful patterns,"The match is in the very early stages (minute 2), with minimal momentum differences between Germany and Denmark. The momentum values are nearly identical, and there are no significant streaks or changes to report. It's too soon to draw any conclusions or identify interesting patterns.",-0.019000000000000128,4.802,4.821,-0.076,-0.481,False,False,0,1,early,False
2025-12-31T00:08:31.254241,3940983,16,1,0,0,Germany,Denmark,False,0.6,"Denmark's momentum is rising, but no significant patterns yet","Although Denmark has a 7-minute positive momentum streak and Germany's momentum is falling, the overall momentum difference is small (+0.59) and does not indicate a significant shift or tension. The game is still early, and the patterns do not meet any critical thresholds or research-backed patterns that would suggest a decisive outcome.",0.5870000000000006,5.538,4.951,-0.69,0.718,False,False,3,7,build_up,False
2025-12-31T00:08:36.138230,3940983,17,1,0,0,Germany,Denmark,False,0.4,Early game with minor momentum shifts,"The momentum difference between Germany and Denmark is minimal (-0.12), indicating an even match. Germany's momentum is falling, while Denmark's is stable, but these changes are not significant enough to highlight at this early stage. The game is still developing, and no extreme patterns or significant shifts have occurred yet.",-0.11800000000000033,5.39,5.508,-0.779,-0.198,False,False,4,1,build_up,False
2025-12-31T00:08:42.593183,3940983,18,1,0,0,Germany,Denmark,False,0.6,"Denmark holds a slight momentum advantage, but no significant patterns.","Although Denmark currently has a momentum advantage over Germany, the difference is not substantial enough to indicate a decisive shift in the match. The gap of 1.24 is the largest seen so far, but it is early in the game, and neither team has established a strong, sustained momentum. The patterns observed, such as Denmark's recent negative streak and Germany's minor positive change, do not meet the thresholds for significant interest. The game remains balanced with no clear indicators of a major shift in control.",-1.2360000000000007,4.278,5.514,0.291,-0.184,False,True,1,2,build_up,False
2025-12-31T00:08:47.855122,3940983,19,1,0,0,Germany,Denmark,False,0.6,"Both teams are experiencing a decline in momentum, with Denmark slightly leading.","The current situation shows both teams having a negative change in momentum, with Denmark holding a slight advantage. However, there are no significant patterns or extreme changes that meet the thresholds for interest, such as a strong streak or a large gap. The game is still in the early stages, and the momentum values are relatively balanced without any team showing clear dominance or tension.",-0.8209999999999997,4.848,5.669,-1.02,-0.421,False,False,1,3,build_up,False
2025-12-31T00:09:02.530718,3940983,25,1,0,0,Germany,Denmark,False,0.7,"Minor momentum shifts, no significant patterns","While Denmark shows a rising momentum trend and Germany's momentum is falling, the changes are not extreme enough to be significant. The momentum gap is small (+0.60), and both teams have short streaks (2 minutes each). The game is still early, and no major patterns or thresholds are met.",0.5960000000000001,5.377,4.781,-0.61,1.102,False,False,2,2,build_up,False
2025-12-31T00:09:08.680071,3940983,26,1,0,0,Germany,Denmark,False,0.6,"Minor fluctuations, no significant patterns","The current momentum data shows a slight home advantage for Germany with a momentum difference of +0.38, but this is not significant enough to indicate a strong pattern. Both teams have experienced short streaks of positive and negative momentum, but none exceed 3 minutes, which is below the threshold for strong patterns. The gap trend is narrowing, and both teams have high volatility, indicating fluctuating momentum without a clear leader. The current situation does not meet any of the key patterns or thresholds that would suggest a significant or interesting development in the match.",0.37600000000000033,5.213,4.837,-0.201,0.894,False,False,3,3,build_up,False
2025-12-31T00:09:12.966716,3940983,27,1,0,0,Germany,Denmark,False,0.6,No significant patterns or shifts in momentum.,"The momentum values for both Germany and Denmark are relatively close, with a difference of only 0.50, indicating a balanced situation. There are no strong streaks or significant changes in momentum that would suggest a notable shift in the game's dynamics. Both teams have experienced similar volatility, and the current gap is not the largest observed in the match. As such, there are no compelling patterns or insights to highlight at this stage.",-0.49799999999999933,4.844,5.342,0.796,0.068,False,False,1,0,build_up,False
2025-12-31T00:09:16.787945,3940983,28,1,0,0,Germany,Denmark,False,0.7,Denmark maintains a slight momentum advantage.,"Although Denmark has a slight momentum advantage over Germany, the gap is not significant enough to be considered interesting. The momentum difference of -1.12 is below the maximum gap seen in the match, and there are no strong streaks or significant changes that meet the thresholds for reporting. Additionally, the game is still in the early stages, and no extreme patterns have emerged yet.",-1.1159999999999997,4.767,5.883,0.618,-0.516,False,False,2,1,build_up,False
2025-12-31T00:09:24.992665,3940983,31,1,0,0,Germany,Denmark,False,0.7,Momentum is balanced with minor fluctuations.,"The momentum between Germany and Denmark is nearly even at minute 31, with a negligible difference of +0.02. Both teams have experienced fluctuations, but no significant or sustained momentum shift is evident. Germany's momentum is slightly rising, while Denmark's is falling, but the changes are not substantial enough to indicate a decisive pattern or potential outcome. The current situation does not match any critical thresholds or patterns that would suggest a significant advantage or prediction.",0.017999999999999794,5.385,5.367,0.437,-0.841,False,False,1,4,first_half_end,False
2025-12-31T00:09:30.612587,3940983,33,1,0,0,Germany,Denmark,False,0.6,Both teams are experiencing a decline in momentum with no significant patterns.,"The momentum values for Germany and Denmark are nearly even, with both teams showing a negative trend. The current gap is small (+0.25) and not significant compared to the maximum gap observed earlier in the match (1.12). Both teams are in a stable trajectory with high volatility, but no strong patterns or streaks are present to suggest a shift in game dynamics.",0.25100000000000033,5.474,5.223,-5.474,-5.223,False,False,2,6,first_half_end,False
2025-12-31T00:09:38.486953,3940983,39,1,0,0,Germany,Denmark,False,0.7,"Germany's momentum is slightly higher, but both teams show high volatility with no significant trends.","Although Germany has a slight momentum advantage (+0.94), the changes are volatile and there are no strong patterns or significant streaks. The game remains balanced, and the current gap is not the largest seen in the match. The situation does not meet any key thresholds for a decisive insight.",0.9409999999999998,5.93,4.989,-0.437,0.476,False,False,1,2,first_half_end,False
2025-12-31T00:09:50.031360,3940983,42,1,0,0,Germany,Denmark,False,0.6,Balanced momentum with no significant patterns,"The momentum values for Germany and Denmark are almost identical, showing a very balanced game with a minimal gap of +0.03. Both teams have stable trends with no significant streaks or changes. The current situation does not meet any key patterns or thresholds that would indicate a significant shift or tension in the match.",0.02800000000000047,5.493,5.465,-0.176,-0.034,False,False,4,0,first_half_end,False
2025-12-31T00:09:56.948700,3940983,43,1,0,0,Germany,Denmark,False,0.65,"Minor momentum shifts, no significant patterns","Although Germany is showing a slight positive change in momentum, the overall gap between the two teams is not substantial, and the patterns do not meet any significant thresholds for interest. The current momentum difference of -0.56 is not the largest seen in the match, and both teams have experienced similar fluctuations in momentum throughout the last 11 minutes. The game remains balanced with no clear dominance or tension pattern emerging.",-0.5609999999999999,5.231,5.792,0.326,-0.951,False,False,1,1,first_half_end,False
