match_id,minute,second,event_type,player_name,team_name,home_team,away_team
3942819,0,0,Starting XI,N/A,Netherlands,Netherlands,England
3942819,0,0,Starting XI,N/A,England,Netherlands,England
3942819,0,0,Half Start,N/A,Netherlands,Netherlands,England
3942819,0,0,Half Start,N/A,England,Netherlands,England
3942819,0,0,Pass,Kobbie Mainoo,England,Netherlands,England
3942819,0,2,Ball Receipt*,Jordan Pickford,England,Netherlands,England
3942819,0,2,Carry,Jordan Pickford,England,Netherlands,England
3942819,0,4,Pressure,Memphis Depay,Netherlands,Netherlands,England
3942819,0,5,Pass,Jordan Pickford,England,Netherlands,England
3942819,0,8,Pass,Virgil van Dijk,Netherlands,Netherlands,England
3942819,0,11,Ball Receipt*,Memphis Depay,Netherlands,Netherlands,England
3942819,0,11,Pass,John Stones,England,Netherlands,England
3942819,0,13,Pressure,Virgil van Dijk,Netherlands,Netherlands,England
3942819,0,13,Ball Receipt*,Harry Kane,England,Netherlands,England
3942819,0,13,Carry,Harry Kane,England,Netherlands,England
3942819,0,14,Pressure,Tijjani Reijnders,Netherlands,Netherlands,England
3942819,0,14,Miscontrol,Harry Kane,England,Netherlands,England
3942819,0,16,Ball Recovery,Cody Mathès Gakpo,Netherlands,Netherlands,England
3942819,0,16,Carry,Cody Mathès Gakpo,Netherlands,Netherlands,England
3942819,0,16,Pressure,Kyle Walker,England,Netherlands,England
3942819,0,16,Foul Committed,Kyle Walker,England,Netherlands,England
3942819,0,16,Foul Won,Cody Mathès Gakpo,Netherlands,Netherlands,England
3942819,0,23,Pass,Nathan Aké,Netherlands,Netherlands,England
3942819,0,24,Ball Receipt*,Virgil van Dijk,Netherlands,Netherlands,England
3942819,0,24,Carry,Virgil van Dijk,Netherlands,Netherlands,England
3942819,0,27,Pass,Virgil van Dijk,Netherlands,Netherlands,England
3942819,0,28,Ball Receipt*,Nathan Aké,Netherlands,Netherlands,England
3942819,0,28,Carry,Nathan Aké,Netherlands,Netherlands,England
3942819,0,30,Pass,Nathan Aké,Netherlands,Netherlands,England
3942819,0,31,Ball Receipt*,Virgil van Dijk,Netherlands,Netherlands,England
3942819,0,31,Carry,Virgil van Dijk,Netherlands,Netherlands,England
3942819,0,32,Pass,Virgil van Dijk,Netherlands,Netherlands,England
3942819,0,33,Ball Receipt*,Stefan de Vrij,Netherlands,Netherlands,England
3942819,0,33,Carry,Stefan de Vrij,Netherlands,Netherlands,England
3942819,0,38,Pass,Stefan de Vrij,Netherlands,Netherlands,England
3942819,0,39,Ball Receipt*,Jerdy Schouten,Netherlands,Netherlands,England
3942819,0,39,Carry,Jerdy Schouten,Netherlands,Netherlands,England
3942819,0,39,Pass,Jerdy Schouten,Netherlands,Netherlands,England
3942819,0,40,Ball Receipt*,Stefan de Vrij,Netherlands,Netherlands,England
3942819,0,40,Carry,Stefan de Vrij,Netherlands,Netherlands,England
3942819,0,43,Pass,Stefan de Vrij,Netherlands,Netherlands,England
3942819,0,44,Ball Receipt*,Virgil van Dijk,Netherlands,Netherlands,England
3942819,0,44,Carry,Virgil van Dijk,Netherlands,Netherlands,England
