data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions
SPORTS_MOLE,1,1,KICKOFF:  And we're off! France get us started.,Kick Off,"[0:10] Jules Koundé under pressure, carries the ball - BUT LOSES IT! . Nicholas Williams Arthuer closes down Jules Koundé . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Jules Koundé under MASSIVE pressure, plays a short pass forward along the ground to Ousmane Dembélé, Ousmane Dembélé under pressure, carries the ball - BUT LOSES IT! . Nicholas Williams Arthuer closes down Ousmane Dembélé",3,0.3813374547307203,0.19995918646713232,0.0786638712717946,0.4747020602226257,0.0465116279069767,0.3605336546897888,0.4350613951683044,0.0745277404785156,8,87,5,62,2,1,6,0,0.0,1,2,1,1.0,0,2,0,0.0,1,6,0,0,1,2,0,0,0,2,0,0
SPORTS_MOLE,1,2,KICKOFF:  And we're off! France get us started.,Kick Off,"[0:00] Starting XI . Starting XI . Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Adrien Rabiot under pressure, plays a short pass back along the ground to N'Golo Kanté",1,0.3297961538003607,0.2824456936739184,0.1155039484841197,0.6777790784835815,0.054054054054054,0.3605336546897888,0.8886861205101013,0.5281524658203125,8,58,5,39,2,1,7,0,0.0,1,2,1,1.0,0,2,0,0.0,1,7,0,0,1,2,0,0,0,2,0,0
SPORTS_MOLE,1,3,KICKOFF:  And we're off! France get us started.,Kick Off,"[0:01] N'Golo Kanté under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass along the ground to Jules Koundé, Jules Koundé under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Jules Koundé under pressure, plays a short pass back along the ground to Dayotchanculle Upamecano, Dayotchanculle Upamecano under pressure, carries the ball",2,0.2805202246727553,0.22473507338391488,0.1085323426444127,0.5143908262252808,0.0512820512820512,0.3605336546897888,0.9126579761505128,0.5521243214607239,8,113,5,83,2,1,6,0,0.0,1,2,1,1.0,0,2,0,0.0,1,6,0,0,1,4,0,2,0,4,0,2
SPORTS_MOLE,1,4,KICKOFF:  And we're off! France get us started.,Kick Off,"[0:51] Daniel Olmo Carvajal under pressure, carries the ball under pressure, plays a short pass to Jesús Navas González, Jesús Navas González under pressure, carries the ball under pressure, plays a long ball back through the air to Aymeric Laporte, Aymeric Laporte surges forward on a BRILLIANT run from the central defensive third into the right midfield",7,0.23942930996418,0.07280028363068897,0.0,0.2184008508920669,0.0,0.3605336546897888,0.0998500436544418,0.260683611035347,8,57,5,44,0,1,3,0,0.0,1,0,0,0.0,0,1,0,0.0,1,3,0,0,1,0,0,0,0,1,0,0
SPORTS_MOLE,1,5,KICKOFF:  And we're off! France get us started.,Kick Off,"[0:20] Randal Kolo Muani under pressure, plays a medium pass back along the ground to Aurélien Djani Tchouaméni . Álvaro Borja Morata Martín closes down Randal Kolo Muani . Aurélien Djani Tchouaméni under pressure, plays a short pass along the ground to Adrien Rabiot, Adrien Rabiot under pressure, plays a medium pass back along the ground to William Saliba, William Saliba under pressure, carries the ball",5,0.1958488202653825,0.0552212099234263,0.0,0.1656636297702789,0.0,0.3605336546897888,-0.02173469401896,0.3822683487087488,8,66,5,53,0,1,5,0,0.0,1,0,0,0.0,0,1,0,0.0,1,5,0,0,1,0,0,0,0,3,0,2
SPORTS_MOLE,1,6,KICKOFF:  And we're off! France get us started.,Kick Off,"[0:15] Álvaro Borja Morata Martín under pressure, carries the ball under pressure, plays a short pass along the ground to Daniel Olmo Carvajal, Daniel Olmo Carvajal under pressure, carries the ball under pressure, plays a medium pass along the ground to Rodrigo Hernández Cascante, Rodrigo Hernández Cascante under pressure, carries the ball - BUT LOSES IT!",4,0.1804062016308307,0.0764072686433792,0.0,0.2292218059301376,0.0,0.3605336546897888,-0.1470633447170257,0.5075969994068146,8,56,5,43,0,1,3,0,0.0,1,0,0,0.0,0,1,0,0.0,1,3,0,0,1,0,0,0,0,2,0,1
SPORTS_MOLE,1,7,KICKOFF:  And we're off! France get us started.,Kick Off,"[0:27] Mike Maignan under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Dayotchanculle Upamecano, Dayotchanculle Upamecano under pressure, carries the ball - BUT LOSES IT! . Álvaro Borja Morata Martín closes down Dayotchanculle Upamecano . Dayotchanculle Upamecano under MASSIVE pressure, plays a long ball through the air to Theo Bernard François Hernández, but it goes out of play",6,0.1555217877030372,0.07480578621228533,0.0,0.224417358636856,0.0,0.3605336546897888,-0.2417965531349182,0.602330207824707,8,65,5,48,0,1,4,0,0.0,1,0,0,0.0,0,1,0,0.0,1,4,0,0,1,0,0,0,0,1,0,0
SPORTS_MOLE,2,1,"Bright start from Spain... Fabian Ruiz moves into the left channel and curls a cross towards the back post, but Lamine Yamal slips and the ball bounces out of play.",General,"[1:51] Lamine Yamal Nasraoui Ebana under pressure, carries the ball under pressure, plays a dangerous short pass along the ground to Jesús Navas González into the DANGER ZONE, Jesús Navas González receives under pressure in the left attacking third under pressure, carries the ball under pressure, plays a dangerous short pass along the ground to Lamine Yamal Nasraoui Ebana into the DANGER ZONE",11,0.3123779888663139,0.3012764733815784,0.2272762303902492,0.5515531897544861,0.125,0.6215552091598511,-0.0327622555196285,0.6543174646794796,30,63,21,50,5,3,2,0,0.0,1,0,0,0.0,1,1,0,0.0,3,2,0,0,1,0,0,0,1,2,0,1
SPORTS_MOLE,2,2,"Bright start from Spain... Fabian Ruiz moves into the left channel and curls a cross towards the back post, but Lamine Yamal slips and the ball bounces out of play.",General,"[1:29] Aymeric Laporte under pressure, carries the ball under pressure, plays a medium pass along the ground to José Ignacio Fernández Iglesias, José Ignacio Fernández Iglesias under pressure, carries the ball under pressure, plays a medium pass along the ground to Aymeric Laporte, Aymeric Laporte under pressure, carries the ball",10,0.2368342046309242,0.1776441085661424,0.1383967824610136,0.3659641146659851,0.0285714285714285,0.6215552091598511,0.0359597019851207,0.5855955071747303,30,50,21,40,1,3,2,0,0.0,1,0,0,0.0,1,1,0,0.0,3,2,0,0,1,0,0,0,1,2,0,1
SPORTS_MOLE,2,3,"Bright start from Spain... Fabian Ruiz moves into the left channel and curls a cross towards the back post, but Lamine Yamal slips and the ball bounces out of play.",General,"[1:19] N'Golo Kanté under pressure, plays a medium pass forward along the ground to Jules Koundé . Nicholas Williams Arthuer closes down N'Golo Kanté . Jules Koundé under pressure, carries the ball loses control under pressure! . Marc Cucurella Saseta under pressure, plays a medium pass back to Aymeric Laporte",9,0.2260106397185792,0.20039750453684982,0.0786294331857017,0.4790848195552826,0.0434782608695652,0.6215552091598511,-0.0755947455763816,0.6971499547362328,30,50,21,40,2,3,5,0,0.0,1,0,0,0.0,1,1,0,0.0,3,5,0,0,1,0,0,0,1,2,0,1
SPORTS_MOLE,2,4,"Bright start from Spain... Fabian Ruiz moves into the left channel and curls a cross towards the back post, but Lamine Yamal slips and the ball bounces out of play.",General,"[1:06] Nicholas Williams Arthuer under pressure, carries the ball under pressure, plays a medium pass to Marc Cucurella Saseta, Marc Cucurella Saseta under pressure, carries the ball loses control under pressure! . Jules Koundé under pressure, plays a short pass to N'Golo Kanté",8,0.1826701394477703,0.1747181176158081,0.07375174135336,0.4254026114940643,0.025,0.6215552091598511,-0.171918585896492,0.7934737950563431,30,43,21,35,1,3,4,0,0.0,1,0,0,0.0,1,1,0,0.0,3,4,0,0,1,0,0,0,1,2,0,1
SPORTS_MOLE,4,1,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",Chance,"[3:52] Fabián Ruiz Peña under pressure, carries the ball under pressure, plays a medium pass back along the ground to José Ignacio Fernández Iglesias, José Ignacio Fernández Iglesias under pressure, carries the ball under pressure, plays a medium pass along the ground to Aymeric Laporte, Aymeric Laporte under pressure, carries the ball",22,0.3895932791282376,0.19856688709221149,0.1685027469021325,0.4008821249008178,0.0263157894736842,0.0602717734873294,0.0229442287236452,0.0373275447636842,36,52,21,42,1,3,3,0,0.0,1,0,0,0.0,3,1,0,0.0,3,3,0,0,1,0,0,0,3,2,0,1
SPORTS_MOLE,4,1,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",Chance,"[3:52] Fabián Ruiz Peña under pressure, carries the ball under pressure, plays a medium pass back along the ground to José Ignacio Fernández Iglesias, José Ignacio Fernández Iglesias under pressure, carries the ball under pressure, plays a medium pass along the ground to Aymeric Laporte, Aymeric Laporte under pressure, carries the ball",22,0.3895932791282376,0.19856688709221149,0.1685027469021325,0.4008821249008178,0.0263157894736842,0.0602717734873294,0.0229442287236452,0.0373275447636842,36,52,21,42,1,3,3,0,0.0,1,0,0,0.0,3,1,0,0.0,3,3,0,0,1,0,0,0,3,2,0,1
SPORTS_MOLE,4,2,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",Chance,"[3:46] N'Golo Kanté closes down Nicholas Williams Arthuer . Nicholas Williams Arthuer takes on the defender . N'Golo Kanté in the duel, Jules Koundé wins the ball back under pressure, carries the ball from the left defensive third into the left midfield - BUT LOSES IT!",21,0.3884602504768115,0.2072078497440473,0.2609108234763618,0.3374569118022918,0.0232558139534883,0.0602717734873294,-0.0075107738375663,0.0677825473248958,36,46,21,31,1,3,3,0,0.0,1,0,0,0.0,3,0,0,0.0,3,3,0,0,1,0,0,0,3,0,0,0
SPORTS_MOLE,4,2,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",Chance,"[3:46] N'Golo Kanté closes down Nicholas Williams Arthuer . Nicholas Williams Arthuer takes on the defender . N'Golo Kanté in the duel, Jules Koundé wins the ball back under pressure, carries the ball from the left defensive third into the left midfield - BUT LOSES IT!",21,0.3884602504768115,0.2072078497440473,0.2609108234763618,0.3374569118022918,0.0232558139534883,0.0602717734873294,-0.0075107738375663,0.0677825473248958,36,46,21,31,1,3,3,0,0.0,1,0,0,0.0,3,0,0,0.0,3,3,0,0,1,0,0,0,3,0,0,0
