data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions
FLASHSCORE,0,1,Anthony Taylor is introduced as the referee for today's match.,General,,-1,0.0,0.0,0.0,0.0,0.0,0.046359609812498,0.0,0.046359609812498,10,0,6,0,0,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
FLASHSCORE,0,1,The players are out and the match is about to start. Germany will have the kick-off.,Kick Off,,-1,0.0,0.0,0.0,0.0,0.0,0.039857979863882,0.0,0.039857979863882,16,0,8,0,0,0,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
FLASHSCORE,1,1,The match has just started.,Kick Off,"[0:37] Pedro González López closes down Toni Kroos . Antonio Rüdiger under pressure, carries the ball under pressure, plays a short pass along the ground to Joshua Kimmich, Joshua Kimmich under pressure, carries the ball under pressure, plays a short pass along the ground to Emre Can",7,0.3450560497752543,0.14755621461559879,0.0993992062952979,0.3432694375514984,0.0,0.0633523017168045,0.0009078569710254,0.062444444745779,5,47,3,36,0,0,5,0,0.0,0,0,0,0.0,0,1,0,0.0,0,5,0,0,0,0,0,0,0,2,0,1
FLASHSCORE,1,2,The match has just started.,Kick Off,"[0:42] Fabián Ruiz Peña under pressure, carries the ball under pressure, plays a short pass forward along the ground to Nicholas Williams Arthuer into the right attacking third, Nicholas Williams Arthuer under pressure, drives forward with the ball under pressure, plays a dangerous medium pass forward along the ground to Álvaro Borja Morata Martín into the central attacking third . Jonathan Tah closes down Nicholas Williams Arthuer",9,0.3384322867211842,0.15031135187111205,0.1199820073116394,0.3309520483016968,0.0,0.0633523017168045,-0.033852607011795,0.0972049087285995,5,67,3,54,0,0,4,0,0.0,0,0,0,0.0,0,1,0,0.0,0,4,0,0,0,0,0,0,0,2,0,1
FLASHSCORE,1,3,The match has just started.,Kick Off,"[0:52] Pedro González López under pressure, shoots with the left foot from a DANGEROUS position - SAVED by the goalkeeper! Parried away!",10,0.3383698785920284,0.1598507620717872,0.1065851026254263,0.3729671835899353,0.0,0.0633523017168045,-0.0627204701304435,0.126072771847248,5,22,3,14,0,0,2,0,0.0,0,0,0,0.0,0,2,0,0.0,0,2,0,0,0,0,0,0,0,2,0,0
FLASHSCORE,1,4,The match has just started.,Kick Off,"[0:53] The goalkeeper deals with it under pressure, plays a long pass forward for treatment",11,0.3309240930613619,0.11599966298695967,0.0648911121832301,0.2831078767776489,0.0,0.0633523017168045,0.0390496850013732,0.0243026167154312,5,15,3,9,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0
FLASHSCORE,1,5,The match has just started.,Kick Off,[0:41] Emre Can loses control under pressure! . Fabián Ruiz Peña wins the ball back,8,0.3276915729877097,0.1480762800689197,0.0648911121832301,0.379337728023529,0.0,0.0633523017168045,-0.0701102465391159,0.1334625482559204,5,15,3,11,0,0,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0
FLASHSCORE,1,6,The match has just started.,Kick Off,"[0:29] Nicholas Williams Arthuer under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Álvaro Borja Morata Martín, Álvaro Borja Morata Martín under pressure, carries the ball under pressure, plays a short pass along the ground to Nicholas Williams Arthuer, but the pass doesn't find its target, Nicholas Williams Arthuer closes down the ball carrier",6,0.3095540667547199,0.11485971915700872,0.1195624145263088,0.2250167429447174,0.0,0.0633523017168045,-0.043010588735342,0.1063628904521465,5,61,3,48,0,0,2,0,0.0,0,0,0,0.0,0,1,0,0.0,0,2,0,0,0,0,0,0,0,3,0,2
FLASHSCORE,1,7,The match has just started.,Kick Off,"[0:20] Unai Simón Mendibil under pressure, carries the ball under pressure, plays a short pass along the ground to Aymeric Laporte, Aymeric Laporte under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Marc Cucurella Saseta, Marc Cucurella Saseta under pressure, carries the ball - BUT LOSES IT!",5,0.2505942621159513,0.10044902077356437,0.1043176207256156,0.1970294415950775,0.0,0.0633523017168045,-0.2356177121400833,0.2989700138568878,5,54,3,41,0,0,3,0,0.0,0,0,0,0.0,0,1,0,0.0,0,3,0,0,0,0,0,0,0,2,0,1
FLASHSCORE,1,8,The match has just started.,Kick Off,"[0:01] Toni Kroos under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Germany and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Toni Kroos under pressure, plays a long ball forward through the air to Kai Havertz into the central attacking third, but the pass doesn't find its target . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Germany and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Robin Aime Robert Le Normand under pressure, plays a short pass, INTERCEPTED! Spain loses the ball . Jamal Musiala wins the ball back under pressure, carries the ball - BUT LOSES IT!",2,0.2218143041505773,0.22884584904701966,0.1551573559768624,0.5125122666358948,0.0188679245283018,0.0633523017168045,0.8626326322555542,0.7992803305387497,5,130,3,91,1,0,7,0,0.0,0,2,0,0.0,0,2,0,0.0,0,7,0,0,0,5,0,3,0,4,0,2
