data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score
FLASHSCORE,0,1,Glenn Nyberg will supervise the game today.,General,,-1,0.0,0.0,0.0,0.0,0.0,0.0334744602441787,0.0,0.0334744602441787,7,0,5,0,0,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
FLASHSCORE,0,1,The players are out and the match is about to start. Ukraine will have the kick-off.,Kick Off,,-1,0.0,0.0,0.0,0.0,0.0,-0.0104786418378353,0.0,0.0104786418378353,16,0,8,0,0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
FLASHSCORE,1,1,The first half of this match is about to start.,Kick Off,"[0:23] Marius Mihai Marin closes down Mykola Shaparenko is beaten by Marius Mihai Marin! . Mykola Shaparenko takes on the defender under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Romania and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Mykola Shaparenko under pressure, plays a short pass along the ground to Viktor Tsygankov",5,0.3050163732791475,0.2043532741499651,0.2265345870570648,0.3637979626655578,0.0227272727272727,0.0536048263311386,0.4465991556644439,0.3929943293333053,10,71,5,51,1,0,8,0,0.0,0,2,0,0.0,0,2,0,0.0,0,8,0,0,0,2,0,0,0,2,0,0,0.5
FLASHSCORE,1,2,"Mykhailo Mudryk (Ukraine) attempts to find one of his teammates with a sweet pass into the box, but one of the defending players reacts well and intercepts the effort.",General,"[0:23] Marius Mihai Marin closes down Mykola Shaparenko is beaten by Marius Mihai Marin! . Mykola Shaparenko takes on the defender under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Romania and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Mykola Shaparenko under pressure, plays a short pass along the ground to Viktor Tsygankov",5,0.2879268658955915,0.2101864419447081,0.1723924236604754,0.4218032658100128,0.0363636363636363,-0.0322527065873146,0.4465991556644439,0.4788518622517586,29,71,18,51,2,2,8,1,0.5,1,2,1,1.0,3,2,1,0.3333333333333333,2,8,0,0,1,2,0,0,3,2,0,0,0.5555555555555556
FLASHSCORE,1,3,"Mykhailo Mudryk (Ukraine) attempts to find one of his teammates with a sweet pass into the box, but one of the defending players reacts well and intercepts the effort.",General,"[0:36] Mykhailo Mudryk under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Romania and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Mykhailo Mudryk under pressure, plays a dangerous short pass along the ground into the DANGER ZONE, INTERCEPTED! Ukraine loses the ball . Nicușor Silviu Bancu clears the danger . Illia Zabarnyi wins the ball back under pressure, carries the ball",7,0.2874145843686573,0.3410814380449602,0.2946716645197292,0.6392869353294373,0.0892857142857142,-0.0322527065873146,0.841333270072937,0.8735859766602516,29,79,18,58,5,2,8,2,1.0,1,2,1,1.0,3,2,1,0.3333333333333333,2,8,0,0,1,3,0,1,3,2,0,0,1.0
FLASHSCORE,1,4,The first half of this match is about to start.,Kick Off,"[0:00] Starting XI . Starting XI . Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Romania and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Artem Dovbyk under pressure, plays a medium pass back along the ground to Taras Stepanenko",1,0.2758150855145151,0.3130604090877764,0.3327855455642124,0.5230623483657837,0.0833333333333333,0.0536048263311386,0.8895257115364075,0.8359208852052689,10,58,5,39,3,0,9,0,0.0,0,2,0,0.0,0,2,0,0.0,0,9,0,0,0,2,0,0,0,2,0,0,0.5
FLASHSCORE,1,5,"Mykhailo Mudryk (Ukraine) attempts to find one of his teammates with a sweet pass into the box, but one of the defending players reacts well and intercepts the effort.",General,"[0:30] Dennis Man closes down Georgiy Sudakov . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Romania and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Georgiy Sudakov under MASSIVE pressure, plays a medium pass forward along the ground to Mykhailo Mudryk into the right attacking third, Mykhailo Mudryk under pressure, carries the ball - BUT LOSES IT! . Dennis Man is beaten by Mykhailo Mudryk! . Mykhailo Mudryk takes on the defender",6,0.261801870440574,0.308146511382701,0.28380489463831,0.5544277429580688,0.0862068965517241,-0.0322527065873146,0.8449793457984924,0.877232052385807,29,86,18,60,5,2,8,2,1.0,1,2,1,1.0,3,2,1,0.3333333333333333,2,8,0,0,1,2,0,0,3,2,0,0,1.0
FLASHSCORE,1,6,"Mykhailo Mudryk (Ukraine) attempts to find one of his teammates with a sweet pass into the box, but one of the defending players reacts well and intercepts the effort.",General,"[0:49] Illia Zabarnyi under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Romania and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Illia Zabarnyi under pressure, plays a long ball forward through the air to Mykhailo Mudryk into the right attacking third, but the pass doesn't find its target . Florin Constantin Niţă wins the ball back under pressure, drives forward with the ball from the left defensive third into the central defensive third under pressure, plays a long ball forward through the air into the central attacking third, INTERCEPTED! Romania loses the ball",8,0.2558303496800785,0.288884595409092,0.3055178058365428,0.4643617868423462,0.0967741935483871,-0.0322527065873146,0.8110796809196472,0.8433323875069618,29,111,18,81,6,2,8,2,1.0,1,2,1,1.0,3,2,1,0.3333333333333333,2,8,0,0,1,3,0,1,3,2,0,0,1.0
FLASHSCORE,1,7,"Mykhailo Mudryk (Ukraine) attempts to find one of his teammates with a sweet pass into the box, but one of the defending players reacts well and intercepts the effort.",General,"[0:17] Andriy Lunin under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Romania and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Andriy Lunin under pressure, plays a medium pass along the ground to Illia Zabarnyi, Illia Zabarnyi under pressure, carries the ball from the left defensive third into the central defensive third struggles to control under pressure, Yukhym Konoplya closes down the ball carrier",4,0.2047559646669934,0.2392133436804228,0.2283877299155778,0.4375281631946563,0.0517241379310344,-0.0322527065873146,0.8663634657859802,0.8986161723732948,29,82,18,61,3,2,8,1,0.5,1,2,1,1.0,3,2,1,0.3333333333333333,2,8,0,0,1,2,0,0,3,2,0,0,0.5555555555555556
FLASHSCORE,1,8,The first half of this match is about to start.,Kick Off,"[0:49] Illia Zabarnyi under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Romania and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Illia Zabarnyi under pressure, plays a long ball forward through the air to Mykhailo Mudryk into the right attacking third, but the pass doesn't find its target . Florin Constantin Niţă wins the ball back under pressure, drives forward with the ball from the left defensive third into the central defensive third under pressure, plays a long ball forward through the air into the central attacking third, INTERCEPTED! Romania loses the ball",8,0.2028975175754128,0.1896883082967199,0.2192563934324322,0.3316267132759094,0.0181818181818181,0.0536048263311386,0.8110796809196472,0.7574748545885086,10,111,5,81,1,0,8,0,0.0,0,2,0,0.0,0,2,0,0.0,0,8,0,0,0,3,0,1,0,2,0,0,0.5
