data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions
FLASHSCORE,0,1,The referee of today's match will be Michael Oliver.,General,,-1,0.0,0.0,0.0,0.0,0.0,0.0513884201645851,0.0,0.0513884201645851,9,0,5,0,0,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
FLASHSCORE,0,1,Slovakia will kick-off.,Kick Off,,-1,0.0,0.0,0.0,0.0,0.0,0.0615029223263263,0.0,0.0615029223263263,3,0,3,0,0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
FLASHSCORE,1,1,The referee blows his whistle and we are underway.,Kick Off,"[0:53] Anatolii Trubin under pressure, drives forward with the ball From the goal kick, Anatolii Trubin under pressure, plays a medium pass along the ground to Mykola Matvienko, Mykola Matvienko under pressure, carries the ball From the goal kick, Mykola Matvienko under pressure, plays a long pass along the ground to Illia Zabarnyi, Illia Zabarnyi under pressure, carries the ball - BUT LOSES IT!",5,0.298841335589221,0.11812732463350677,0.0952256275794144,0.2591563463211059,0.0,0.0803631544113159,-0.0786534771323204,0.1590166315436363,9,64,4,46,0,0,4,0,0.0,0,0,0,0.0,0,3,0,0.0,0,4,0,0,0,0,0,0,0,6,0,3
FLASHSCORE,1,2,The referee blows his whistle and we are underway.,Kick Off,"[0:24] Ondrej Duda under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Slovakia and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Ondrej Duda under pressure, plays a long pass along the ground to Denis Vavro, Denis Vavro under pressure, carries the ball from the left midfield into the central midfield 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Slovakia and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Denis Vavro under pressure, plays a long ball forward through the air to Dávid Hancko into the right attacking third, Dávid Hancko receives under pressure in the right attacking third",4,0.1833477168037968,0.18261076990160374,0.1624951158978451,0.3645038604736328,0.0208333333333333,0.0803631544113159,0.8948045969009399,0.814441442489624,9,129,4,94,1,0,8,0,0.0,0,2,0,0.0,0,2,0,0.0,0,8,0,0,0,4,0,2,0,3,0,1
FLASHSCORE,1,3,The referee blows his whistle and we are underway.,Kick Off,"[0:00] Starting XI . Starting XI . Half Start . Half Start . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Slovakia and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Róbert Boženík under pressure, plays a medium pass back along the ground to Milan Škriniar",1,0.1774180871907532,0.16843776473252767,0.1121263214441614,0.3661599457263946,0.027027027027027,0.0803631544113159,0.8760040998458862,0.7956409454345703,9,59,4,39,1,0,9,0,0.0,0,2,0,0.0,0,2,0,0.0,0,9,0,0,0,2,0,0,0,2,0,0
FLASHSCORE,1,4,The referee blows his whistle and we are underway.,Kick Off,"[0:04] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Slovakia and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Denis Vavro under pressure, plays a long ball forward through the air to Dávid Hancko into the right attacking third, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Slovakia and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Dávid Hancko under pressure, plays a dangerous short pass into the DANGER ZONE, INTERCEPTED! Slovakia loses the ball . Andriy Yarmolenko in the duel, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Slovakia and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Mykola Shaparenko under pressure, plays a medium pass forward through the air, INTERCEPTED! Ukraine loses the ball . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Slovakia and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Stanislav Lobotka under pressure, plays a medium pass back through the air to Denis Vavro",2,0.1666291871353135,0.1687646201827984,0.1558442278330994,0.3319311141967773,0.0185185185185185,0.0803631544113159,0.920140266418457,0.8397771120071411,9,202,4,144,1,0,10,0,0.0,0,2,0,0.0,0,2,0,0.0,0,10,0,0,0,10,0,8,0,7,0,5
FLASHSCORE,1,5,The referee blows his whistle and we are underway.,Kick Off,"[0:14] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Slovakia and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Stanislav Lobotka under pressure, plays a medium pass back to Milan Škriniar, Milan Škriniar under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Slovakia and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Milan Škriniar under pressure, plays a long pass along the ground to Denis Vavro, Denis Vavro under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Slovakia and Ukraine. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Denis Vavro under pressure, plays a long pass along the ground to Milan Škriniar",3,0.157728790334638,0.1580385355045743,0.131331349242372,0.3171432316303253,0.0256410256410256,0.0803631544113159,0.9235635995864868,0.8432004451751709,9,148,4,107,1,0,8,0,0.0,0,2,0,0.0,0,2,0,0.0,0,8,0,0,0,6,0,4,0,6,0,4
FLASHSCORE,3,1,The ball is cleared after Mykhailo Mudryk (Ukraine) attempted to dribble past an opposing player.,General,"[2:03] Artem Dovbyk under pressure, plays a medium pass along the ground to Mykhailo Mudryk, Mykhailo Mudryk under pressure, drives forward with the ball from the right defensive third into the right midfield - BUT LOSES IT! . Stanislav Lobotka closes down Mykhailo Mudryk . Mykhailo Mudryk takes on the defender . Ondrej Duda in the duel",13,0.4299753754281792,0.31971277779258533,0.2600211609690078,0.6180360913276672,0.081081081081081,0.0406787991523742,-0.1985580325126648,0.239236831665039,15,57,11,38,3,2,4,1,0.5,1,0,0,0.0,2,1,0,0.0,2,4,0,0,1,0,0,0,2,1,0,0
FLASHSCORE,3,2,The ball is cleared after Mykhailo Mudryk (Ukraine) attempted to dribble past an opposing player.,General,"[2:46] Peter Pekarík under pressure, delivers the free kick a long pass back along the ground to Denis Vavro, Denis Vavro under pressure, carries the ball under pressure, delivers the free kick a long pass along the ground to Milan Škriniar, Milan Škriniar under pressure, carries the ball under pressure, delivers the free kick a long pass along the ground to Denis Vavro",16,0.3890617817906141,0.18950173162984849,0.1312505701821872,0.4015403389930725,0.0357142857142857,0.0406787991523742,0.0284207314252853,0.0122580677270889,15,63,11,48,1,2,3,0,0.0,1,0,0,0.0,2,2,0,0.0,2,3,0,0,1,0,0,0,2,6,0,4
FLASHSCORE,3,3,The referee blows his whistle as Andriy Yarmolenko (Ukraine) was too aggressive in his challenge.,General,"[2:11] Ondrej Duda under pressure, carries the ball - BUT LOSES IT! . Mykola Shaparenko closes down Ondrej Duda . Ondrej Duda under MASSIVE pressure, plays a short pass along the ground, INTERCEPTED! Slovakia loses the ball . Crucial block by Mykola Shaparenko!, ⚠️ FOUL by Andriy Yarmolenko in the left midfield",14,0.3809071948597833,0.21293572855922968,0.1058345238429145,0.472366601228714,0.0606060606060606,-0.5144481062889099,-0.399269700050354,0.1151784062385559,15,51,9,36,2,2,4,1,0.5,1,1,0,0.0,0,3,0,0.0,2,4,0,0,1,1,0,0,0,3,0,0
FLASHSCORE,3,4,The ball is cleared after Mykhailo Mudryk (Ukraine) attempted to dribble past an opposing player.,General,"[2:16] Lukáš Haraslín is fouled, Dávid Hancko under pressure, delivers the free kick a medium pass back along the ground to Milan Škriniar, Milan Škriniar under pressure, carries the ball under pressure, delivers the free kick a long pass along the ground to Denis Vavro, Denis Vavro under pressure, carries the ball from the central midfield into the left midfield",15,0.3672338131872868,0.20544606994364725,0.1599620281225001,0.428598403930664,0.0277777777777777,0.0406787991523742,-0.1067241579294204,0.1474029570817947,15,60,11,45,1,2,4,0,0.0,1,0,0,0.0,2,3,0,0.0,2,4,0,0,1,0,0,0,2,5,0,2
FLASHSCORE,3,5,The ball is cleared after Mykhailo Mudryk (Ukraine) attempted to dribble past an opposing player.,General,"[2:11] Ondrej Duda under pressure, carries the ball - BUT LOSES IT! . Mykola Shaparenko closes down Ondrej Duda . Ondrej Duda under MASSIVE pressure, plays a short pass along the ground, INTERCEPTED! Slovakia loses the ball . Crucial block by Mykola Shaparenko!, ⚠️ FOUL by Andriy Yarmolenko in the left midfield",14,0.3136397815681773,0.23150254182514576,0.094247857837125,0.5724819898605347,0.0277777777777777,0.0406787991523742,-0.399269700050354,0.4399484992027282,15,51,11,36,1,2,4,0,0.0,1,1,0,0.0,2,3,0,0.0,2,4,0,0,1,1,0,0,2,3,0,0
