data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score
BBC,1,1,And away we go...,Kick Off,"[0:57] Nicușor Silviu Bancu under pressure, carries the ball - BUT LOSES IT! . Youri Tielemans closes down Nicușor Silviu Bancu . Nicușor Silviu Bancu under MASSIVE pressure, plays a short pass along the ground to Valentin Mihai Mihăilă, but the pass doesn't find its target . Crucial block by Youri Tielemans! . Nicușor Silviu Bancu closes down Youri Tielemans",9,0.2736965268850326,0.0488171180089314,0.0,0.1464513540267944,0.0,-0.2496058344841003,-0.3012710809707641,0.0516652464866638,4,60,1,44,0,1,3,0,0.0,0,0,0,0.0,0,2,0,0.0,1,3,0,0,0,0,0,0,0,3,0,1,0.0
BBC,1,2,And away we go...,Kick Off,"[0:38] Kevin De Bruyne under pressure, drives forward with the ball from the right midfield into the right attacking third - BUT LOSES IT! . Nicolae Claudiu Stanciu closes down Kevin De Bruyne, Răzvan Gabriel Marin closes down the ball carrier . Kevin De Bruyne under MASSIVE pressure, delivers the free kick a medium pass along the ground to Romelu Lukaku Menama into the central attacking third, but the pass doesn't find its target, Romelu Lukaku Menama receives under pressure in the central attacking third",6,0.2733602225780487,0.0525633494059244,0.0,0.1576900482177734,0.0,-0.2496058344841003,-0.1853566765785217,0.0642491579055786,4,85,1,60,0,1,4,0,0.0,0,0,0,0.0,0,2,0,0.0,1,4,0,0,0,0,0,0,0,3,0,1,0.0
BBC,1,3,And away we go...,Kick Off,"[0:28] Koen Casteels under pressure, carries the ball - BUT LOSES IT! . Denis Mihai Drăguş closes down Koen Casteels . Koen Casteels under MASSIVE pressure, delivers the free kick a long pass forward to Jeremy Doku, but the pass doesn't find its target . Andrei Florin Ratiu under pressure, delivers the free kick a short pass to Marius Mihai Marin, Marius Mihai Marin under pressure, delivers the free kick a short pass to Răzvan Gabriel Marin, but the pass doesn't find its target",5,0.2694036792963743,0.0390550370017687,0.0,0.1171651110053062,0.0,-0.2496058344841003,-0.2891562283039093,0.0395503938198089,4,84,1,61,0,1,5,0,0.0,0,0,0,0.0,0,2,0,0.0,1,6,0,1,0,0,0,0,0,8,0,6,0.5
BBC,1,4,And away we go...,Kick Off,"[0:10] Dodi Lukebakio is fouled, Timothy Castagne under pressure, delivers the free kick a medium pass back along the ground to Wout Faes, Wout Faes under pressure, carries the ball under pressure, delivers the free kick a short pass along the ground to Youri Tielemans . Nicolae Claudiu Stanciu closes down Wout Faes",4,0.2523536533117294,0.0499240706364313,0.0,0.1497722119092941,0.0,-0.2496058344841003,-0.1092482358217239,0.1403575986623764,4,53,1,41,0,1,5,0,0.0,0,0,0,0.0,0,3,0,0.0,1,5,0,0,0,0,0,0,0,5,0,2,0.0
BBC,1,5,And away we go...,Kick Off,[0:09] Nicolae Claudiu Stanciu closes down Dodi Lukebakio ⚠️ FOUL by Nicolae Claudiu Stanciu in the right midfield,3,0.2281319941394031,0.0636199762423833,0.0,0.1908599287271499,0.0,-0.2496058344841003,0.0287261176854372,0.2783319521695375,4,17,1,13,0,1,2,0,0.0,0,0,0,0.0,0,1,0,0.0,1,2,0,0,0,0,0,0,0,1,0,0,0.0
BBC,1,6,And away we go...,Kick Off,"[0:42] Nicușor Silviu Bancu under pressure, carries the ball under pressure, plays a long pass forward along the ground to Dennis Man, Dennis Man under pressure, carries the ball under pressure, plays a short pass back along the ground to Andrei Florin Ratiu . Kevin De Bruyne closes down Dennis Man",7,0.2200011597014963,0.0361807992060979,0.0,0.1085423976182937,0.0,-0.2496058344841003,-0.021068075671792,0.2285377588123083,4,51,1,40,0,1,4,0,0.0,0,0,0,0.0,0,1,0,0.0,1,4,0,0,0,0,0,0,0,2,0,1,0.5
BBC,1,7,And away we go...,Kick Off,"[0:48] Jeremy Doku in the duel . Andrei Florin Ratiu wins the ball back under pressure, carries the ball under pressure, plays a short pass along the ground to Nicolae Claudiu Stanciu, Nicolae Claudiu Stanciu under pressure, carries the ball",8,0.203757394105196,0.0377108578880627,0.0,0.1131325736641883,0.0,-0.2496058344841003,0.048497162759304,0.2981029972434044,4,40,1,30,0,1,3,0,0.0,0,0,0,0.0,0,1,0,0.0,1,3,0,0,0,0,0,0,0,1,0,0,0.5
BBC,1,8,And away we go...,Kick Off,"[0:05] Denis Mihai Drăguş closes down Wout Faes . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and Romania. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Wout Faes under MASSIVE pressure, plays a short pass along the ground to Youri Tielemans, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and Romania. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Youri Tielemans under pressure, plays a medium pass forward to Dodi Lukebakio, Dodi Lukebakio under pressure, carries the ball - BUT LOSES IT! . Valentin Mihai Mihăilă closes down Dodi Lukebakio",2,0.028303679925675,0.0841694237159025,0.0707347575921808,0.1817735135555267,0.0,-0.2496058344841003,0.889687716960907,1.139293551445007,4,117,1,85,0,1,9,0,0.0,0,2,0,0.0,0,2,0,0.0,1,10,0,1,0,4,0,2,0,4,0,2,0.0
BBC,1,9,And away we go...,Kick Off,"[0:00] Starting XI . Starting XI . Half Start . Half Start . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and Romania. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Youri Tielemans under pressure, plays a short pass along the ground to Kevin De Bruyne",1,0.0173201018620108,0.0698219410642749,0.0673535382940669,0.1421122848987579,0.0,-0.2496058344841003,0.8905795812606812,1.1401854157447815,4,59,1,38,0,1,9,0,0.0,0,2,0,0.0,0,2,0,0.0,1,9,0,0,0,2,0,0,0,2,0,0,0.0
BBC,2,1,"Oh, WOW! Talk about fast starts. Belgium could not wish for a better start as a sweeping move ends with Romelu Lukaku teeing-up Youri Tielemans for the sweetest of finishes from about 18 yards. The Red Devils are up and running.",Goal,[1:14] Nicolae Claudiu Stanciu closes down Romelu Lukaku Menama . Youri Tielemans receives under pressure in the central attacking third ⚽ GOOOAL! Youri Tielemans scores! What a strike with the right foot! Belgium now lead 1-0! His first goal of the tournament in the 1st minute!,11,0.4126104827799675,0.3092084283402597,0.1951621149497418,0.6304223537445068,0.1020408163265306,0.978312373161316,0.7011290192604065,0.2771833539009094,41,45,25,32,5,6,6,2,0.3333333333333333,1,1,1,1.0,1,2,0,0.0,6,6,0,0,1,1,0,0,1,2,0,0,0.391304347826087
